predictor_instances,abs_potential_threshold_steps,Mean,Median,StdDev,Min,Max,SharpeRatio,trading_quantity_per_leverage_factor,sell_opposite_direction_if_no_cash,sell_all_opposite_products_if_no_cash,include_open_leverage_category,precalculate_predictor_observations,leverage_categories,date
[LSTM_c2_ValHR0.7051],"(0.035, 0.125, 0.7)",0.0409983954758396,0.0078175955517512,0.2289592247516826,-0.3183320931929382,2.283631169322461,0.2204217359354888,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051, LSTM_d1_ValHR0.6667]","(0.004, 0.015, 0.2)",0.0264852770385685,0.0264479431147718,0.1121807510475775,-0.3536940107473308,0.4914345938936147,0.3712447866089314,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925]","(0.01, 0.04, 0.3)",0.0166707160774089,0.0204798752514839,0.1080232820335847,-0.3659676538974747,0.3436574056269468,0.3219739142673907,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.025, 0.075, 0.6)",0.0110737786918851,0.0015646340338209,0.106843872538991,-0.2540192495012827,0.4343415001982393,0.2461776700152457,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051, LSTM_d1_ValHR0.6667]","(0.01, 0.04, 0.3)",0.0077319626865177,0.0026039456290205,0.1024044347340054,-0.3252794145411008,0.3466442512471902,0.2158843527018369,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925]","(0.025, 0.075, 0.6)",0.006643910629017,0.0034779874041782,0.1000700413117434,-0.2916807835985389,0.3400712239225396,0.2250911050608716,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925]","(0.035, 0.125, 0.7)",0.0048204726608955,0.0014829215520008,0.1014816912225534,-0.3044257832730084,0.339057288089283,0.1888686604802698,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.035, 0.125, 0.7)",0.0046451950414495,-5.322982812649285e-05,0.1012283449517125,-0.2246975862574146,0.4016415454789114,0.1799516587244662,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051, LSTM_d1_ValHR0.6667]","(0.025, 0.075, 0.6)",0.0045774103868947,0.0006966135580796,0.0993391353135876,-0.230124507950891,0.3499419530630487,0.190271003194474,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051, LSTM_d1_ValHR0.6667]","(0.035, 0.125, 0.7)",0.0038403860359873,-0.000114915282089,0.1026064923788157,-0.226910764726325,0.3879935841729116,0.1676315817420317,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
