Price,Datetime,Close,High,Low,Open,Volume,MA5,MA30,MA90
Ticker,,^DJI,^DJI,^DJI,^DJI,^DJI,,,
0,1992-01-02,3172.39990234375,3172.6298828125,3139.31005859375,3152.10009765625,23550000,3172.39990234375,3172.39990234375,3172.39990234375
1,1992-01-03,3201.5,3210.639892578125,3165.919921875,3172.39990234375,23620000,3186.949951171875,3186.949951171875,3186.949951171875
2,1992-01-06,3200.10009765625,3213.330078125,3191.860107421875,3201.5,27280000,3191.3333333333335,3191.3333333333335,3191.3333333333335
3,1992-01-07,3204.800048828125,3210.199951171875,3184.47998046875,3200.10009765625,25510000,3202.1333821614585,3194.7000122070312,3194.7000122070312
4,1992-01-08,3203.89990234375,3229.199951171875,3185.820068359375,3204.800048828125,29040000,3202.933349609375,3196.539990234375,3196.539990234375
5,1992-01-09,3209.5,3228.31005859375,3192.75,3203.89990234375,29820000,3204.5750122070312,3198.699991861979,3198.699991861979
6,1992-01-10,3199.5,3217.1298828125,3185.3798828125,3209.5,23440000,3203.560009765625,3198.814278738839,3198.814278738839
7,1992-01-13,3185.60009765625,3201.25,3179.110107421875,3199.5,19300000,3198.2000325520835,3197.1625061035156,3197.1625061035156
8,1992-01-14,3246.199951171875,3248.8798828125,3182.919921875,3185.60009765625,24220000,3210.433349609375,3202.6111111111113,3202.6111111111113
9,1992-01-15,3258.5,3263.419921875,3232.110107421875,3246.199951171875,29560000,3230.1000162760415,3208.2,3208.2
10,1992-01-16,3249.60009765625,3262.75,3222.050048828125,3258.5,38100000,3234.9750366210938,3211.9636452414775,3211.9636452414775
11,1992-01-17,3265.0,3279.9599609375,3243.2900390625,3249.60009765625,39780000,3240.980029296875,3216.383341471354,3216.383341471354
12,1992-01-20,3254.0,3269.89990234375,3245.080078125,3265.0,18190000,3256.2000325520835,3219.2769305889424,3219.2769305889424
13,1992-01-21,3223.39990234375,3254.469970703125,3215.340087890625,3254.0,24160000,3247.4666341145835,3219.5714285714284,3219.5714285714284
14,1992-01-22,3255.800048828125,3256.0400390625,3216.909912109375,3223.39990234375,21590000,3244.3999837239585,3221.986669921875,3221.986669921875
15,1992-01-23,3226.699951171875,3266.989990234375,3222.93994140625,3255.800048828125,22140000,3239.9749755859375,3222.28125,3222.28125
16,1992-01-24,3232.800048828125,3248.429931640625,3216.679931640625,3226.699951171875,22600000,3238.539990234375,3222.9000028722426,3222.9000028722426
17,1992-01-27,3240.60009765625,3246.64990234375,3230.550048828125,3232.800048828125,19110000,3233.36669921875,3223.883341471354,3223.883341471354
18,1992-01-28,3272.10009765625,3275.489990234375,3239.93994140625,3240.60009765625,24960000,3248.5000813802085,3226.4210654810854,3226.4210654810854
19,1992-01-29,3225.0,3299.18994140625,3218.469970703125,3272.10009765625,32500000,3245.9000651041665,3226.3500122070313,3226.3500122070313
20,1992-01-30,3244.89990234375,3247.320068359375,3216.010009765625,3225.0,22080000,3245.6500244140625,3227.2333403087796,3227.2333403087796
